stop_id,stop_name,stop_lat,stop_lon
133_S,CHRISTOPHER ST,40.734063014,-74.0027199896
134_N,HOUSTON ST,40.7287530891,-74.0052459993
134_S,HOUSTON ST,40.7287530891,-74.0052459993
135_N,CANAL ST,40.7231322156,-74.0061740626
135_S,CANAL ST,40.7231322156,-74.0061740626
136_N,FRANKLIN ST,40.7198192932,-74.0068100568
136_S,FRANKLIN ST,40.7198192932,-74.0068100568
137_N,CHAMBERS ST,40.7160543506,-74.0091801158
137_S,CHAMBERS ST,40.7160543506,-74.0091801158
139_N,RECTOR ST,40.707742499,-74.0137962102
139_S,RECTOR ST,40.707742499,-74.0137962102
142,SOUTH FERRY,40.7015576331,-74.0138111697
201,E 241ST ST,40.9027983779,-73.8506309549
204_N,NEREID AVE,40.8982434533,-73.8543251007
204_S,NEREID AVE,40.8982434533,-73.8543251007
205_N,E 233RD ST,40.8929145431,-73.857651268
205_S,E 233RD ST,40.8929145431,-73.857651268
206_N,E 225TH ST,40.8879015673,-73.8603643609
206_S,E 225TH ST,40.8879015673,-73.8603643609
207_N,E 219TH ST,40.883599676,-73.8626294523
207_S,E 219TH ST,40.883599676,-73.8626294523
208_N,GUN HILL RD,40.8777427314,-73.8659485889
208_S,GUN HILL RD,40.8777427314,-73.8659485889
209_N,BURKE AVE,40.8712838644,-73.8671035459
209_S,BURKE AVE,40.8712838644,-73.8671035459
210_N,ALLERTON AVE,40.8654409404,-73.86716562
210_S,ALLERTON AVE,40.8654409404,-73.86716562
211_N,PELHAM PKY,40.8590421038,-73.8553822683
211_S,PELHAM PKY,40.8590421038,-73.8553822683
212_N,BRONX PARK EAST,40.8490912754,-73.8685596779
212_S,BRONX PARK EAST,40.8490912754,-73.8685596779
213_N,E 180TH ST,40.8418473841,-73.8733748738
213_S,E 180TH ST,40.8418473841,-73.8733748738
214_N,E TREMONT AVE,40.8405463491,-73.8799631164
214_S,E TREMONT AVE,40.8405463491,-73.8799631164
215_N,174TH ST,40.837344427,-73.8877902711
215_S,174TH ST,40.837344427,-73.8877902711
216_N,FREEMAN ST,40.8302305581,-73.8919564422
216_S,FREEMAN ST,40.8302305581,-73.8919564422
217_N,SIMPSON ST,40.8242146229,-73.8930575555
217_S,SIMPSON ST,40.8242146229,-73.8930575555
218_N,INTERVALE AVE,40.8221316869,-73.8970615999
218_S,INTERVALE AVE,40.8221316869,-73.8970615999
219_N,PROSPECT AVE,40.8196076746,-73.9017818386
219_S,PROSPECT AVE,40.8196076746,-73.9017818386
220_N,JACKSON AVE,40.8165217663,-73.9079059955
220_S,JACKSON AVE,40.8165217663,-73.9079059955
221_N,149TH ST,40.8184576893,-73.9268295286
221_S,149TH ST,40.8184576893,-73.9268295286
222_N,149TH ST,40.8184576893,-73.9268295286
222_S,149TH ST,40.8184576893,-73.9268295286
224_N,135TH ST,40.8140847355,-73.9408989577
224_S,135TH ST,40.8140847355,-73.9408989577
225_N,125TH ST,40.8078278333,-73.9454851164
225_S,125TH ST,40.8078278333,-73.9454851164
226_N,116TH ST,40.8023918657,-73.9495102304
226_S,116TH ST,40.8023918657,-73.9495102304
227_N,110TH ST,40.7990509685,-73.9519453202
227_S,110TH ST,40.7990509685,-73.9519453202
228_N,PARK PL,40.7135064032,-74.0087190719
228_S,PARK PL,40.7135064032,-74.0087190719
229_N,FULTON ST,40.7099014554,-74.0064680057
229_S,FULTON ST,40.7099014554,-74.0064680057
230_N,WALL ST,40.7072445171,-74.0090150648
230_S,WALL ST,40.7072445171,-74.0090150648
231_N,CLARK ST,40.6972217691,-73.992717616
231_S,CLARK ST,40.6972217691,-73.992717616
232_N,BOROUGH HALL,40.6929698429,-73.9897244978
232_S,BOROUGH HALL,40.6929698429,-73.9897244978
233_N,HOYT ST,40.6902199173,-73.9845534062
233_S,HOYT ST,40.6902199173,-73.9845534062
234_N,NEVINS ST,40.6880209679,-73.9802402602
234_S,NEVINS ST,40.6880209679,-73.9802402602
235_N,ATLANTIC AVE,40.6841770406,-73.9774071621
235_S,ATLANTIC AVE,40.6841770406,-73.9774071621
236_N,BERGEN ST,40.6806001668,-73.9748230323
236_S,BERGEN ST,40.6806001668,-73.9748230323
237_N,GRAND ARMY PLZ,40.6750832269,-73.9707629398
237_S,GRAND ARMY PLZ,40.6750832269,-73.9707629398
238_N,EASTERN PKY,40.671898311,-73.9643818155
238_S,EASTERN PKY,40.671898311,-73.9643818155
239_N,FRANKLIN AVE,40.6703333308,-73.9575556084
239_S,FRANKLIN AVE,40.6703333308,-73.9575556084
241_N,PRESIDENT ST,40.6675614355,-73.9503604311
241_S,PRESIDENT ST,40.6675614355,-73.9503604311
242_N,STERLING ST,40.6624055338,-73.9503743662
242_S,STERLING ST,40.6624055338,-73.9503743662
243_N,WINTHROP ST,40.6563356296,-73.9497063928
243_S,WINTHROP ST,40.6563356296,-73.9497063928
244_N,CHURCH AVE,40.6504917686,-73.949126381
244_S,CHURCH AVE,40.6504917686,-73.949126381
245_N,BEVERLY RD,40.6448419134,-73.9485503431
245_S,BEVERLY RD,40.6448419134,-73.9485503431
246_N,NEWKIRK AVE,40.6396200054,-73.9479973264
246_S,NEWKIRK AVE,40.6396200054,-73.9479973264
247,FLATBUSH AVE,40.6325661467,-73.9473383032
248_N,NOSTRAND AVE,40.669498408,-73.9500553905
248_S,NOSTRAND AVE,40.669498408,-73.9500553905
249_N,KINGSTON AVE,40.6689963752,-73.9417291281
249_S,KINGSTON AVE,40.6689963752,-73.9417291281
250_N,UTICA AVE,40.6684893987,-73.9320398509
250_S,UTICA AVE,40.6684893987,-73.9320398509
251_N,SUTTER AVE,40.6642995327,-73.9221925779
251_S,SUTTER AVE,40.6642995327,-73.9221925779
252_N,SARATOGA AVE,40.6609255753,-73.9163133974
252_S,SARATOGA AVE,40.6609255753,-73.9163133974
253_N,ROCKAWAY AVE,40.6619635949,-73.9088552078
253_S,ROCKAWAY AVE,40.6619635949,-73.9088552078
254_N,JUNIUS ST,40.6629275803,-73.9022959766
254_S,JUNIUS ST,40.6629275803,-73.9022959766
255_N,PENNSYLVANIA AVE,40.6640185383,-73.894999818
255_S,PENNSYLVANIA AVE,40.6640185383,-73.894999818
256_N,VAN SICLEN AVE,40.664821489,-73.8892866526
256_S,VAN SICLEN AVE,40.664821489,-73.8892866526
257,NEW LOTS AVE,40.6656585158,-73.8839585417
301,148TH ST-LENOX TERM,40.8237035955,-73.9360227539
302_N,145TH ST,40.8204266464,-73.9362907865
302_S,145TH ST,40.8204266464,-73.9362907865
401,WOODLAWN,40.886128568,-73.8785708247
402_N,MOSHOLU PKY,40.8795926854,-73.8846220531
402_S,MOSHOLU PKY,40.8795926854,-73.8846220531
405_N,BEDFORD PARK BLVD,40.8730908021,-73.8901681981
405_S,BEDFORD PARK BLVD,40.8730908021,-73.8901681981
406_N,KINGSBRIDGE RD,40.8679578737,-73.8969444796
406_S,KINGSBRIDGE RD,40.8679578737,-73.8969444796
407_N,FORDHAM RD,40.8628709363,-73.9009595542
407_S,FORDHAM RD,40.8628709363,-73.9009595542
408_N,183RD ST,40.8585010424,-73.9037866581
408_S,183RD ST,40.8585010424,-73.9037866581
409_N,BURNSIDE AVE,40.8536870977,-73.9075418355
409_S,BURNSIDE AVE,40.8536870977,-73.9075418355
410_N,176TH ST,40.84870821,-73.911851929
410_S,176TH ST,40.84870821,-73.911851929
411_N,MT EDEN AVE,40.8444262731,-73.914794044
411_S,MT EDEN AVE,40.8444262731,-73.914794044
412_N,170TH ST,40.8401583027,-73.9177051214
412_S,170TH ST,40.8401583027,-73.9177051214
413_N,167TH ST,40.8355624045,-73.9213892931
413_S,167TH ST,40.8355624045,-73.9213892931
414_N,161ST ST,40.828034506,-73.9258644827
414_S,161ST ST,40.828034506,-73.9258644827
415_N,149TH ST,40.8183476486,-73.9274065564
415_S,149TH ST,40.8183476486,-73.9274065564
416_N,138TH ST,40.8130767849,-73.9299176125
416_S,138TH ST,40.8130767849,-73.9299176125
418_N,FULTON ST,40.7108604525,-74.0093791421
418_S,FULTON ST,40.7108604525,-74.0093791421
419_N,WALL ST,40.7080004909,-74.0118471469
419_S,WALL ST,40.7080004909,-74.0118471469
420_N,BOWLING GREEN,40.7051235935,-74.0140782716
420_S,BOWLING GREEN,40.7051235935,-74.0140782716
423_N,BOROUGH HALL,40.6920688653,-73.989593551
423_S,BOROUGH HALL,40.6920688653,-73.989593551
501,DYRE AVE,40.887945631,-73.8305005175
502_N,BAYCHESTER AVE,40.8784868058,-73.8385888011
502_S,BAYCHESTER AVE,40.8784868058,-73.8385888011
503_N,GUN HILL RD,40.8692189718,-73.8465330528
503_S,GUN HILL RD,40.8692189718,-73.8465330528
504_N,PELHAM PKY,40.8571901227,-73.8675927085
504_S,PELHAM PKY,40.8571901227,-73.8675927085
505_N,MORRIS PARK,40.8546231892,-73.8601384454
505_S,MORRIS PARK,40.8546231892,-73.8601384454
601,PELHAM BAY PARK,40.852576271,-73.8277805741
602_N,BUHRE AVE,40.8463153276,-73.8324877252
602_S,BUHRE AVE,40.8463153276,-73.8324877252
603_N,MIDDLETOWN RD,40.843661406,-73.835964858
603_S,MIDDLETOWN RD,40.843661406,-73.835964858
604_N,WESTCHESTER SQ,40.8395744447,-73.8428300679
604_S,WESTCHESTER SQ,40.8395744447,-73.8428300679
606_N,ZEREGA AVE,40.8363495089,-73.8469311112
606_S,ZEREGA AVE,40.8363495089,-73.8469311112
607_N,CASTLE HILL AVE,40.8339975726,-73.8512142525
607_S,CASTLE HILL AVE,40.8339975726,-73.8512142525
608_N,E 177TH ST,40.8331225596,-73.8611216157
608_S,E 177TH ST,40.8331225596,-73.8611216157
609_N,ST LAWRENCE AVE,40.8313765269,-73.8678267915
609_S,ST LAWRENCE AVE,40.8313765269,-73.8678267915
610_N,MORRISON AVE,40.8293545741,-73.8746399223
610_S,MORRISON AVE,40.8293545741,-73.8746399223
611_N,ELDER AVE,40.8285325648,-73.8792611425
611_S,ELDER AVE,40.8285325648,-73.8792611425
612_N,WHITLOCK AVE,40.8266645968,-73.8862303116
612_S,WHITLOCK AVE,40.8266645968,-73.8862303116
613_N,HUNTS POINT AVE,40.8207847228,-73.8911195093
613_S,HUNTS POINT AVE,40.8207847228,-73.8911195093
614_N,LONGWOOD AVE,40.8161047702,-73.8965176464
614_S,LONGWOOD AVE,40.8161047702,-73.8965176464
615_N,E 149TH ST,40.8121098089,-73.9042568519
615_S,E 149TH ST,40.8121098089,-73.9042568519
616_N,E 143RD ST,40.8085928964,-73.9078580298
616_S,E 143RD ST,40.8085928964,-73.9078580298
617_N,CYPRESS AVE,40.8053558903,-73.9141792514
617_S,CYPRESS AVE,40.8053558903,-73.9141792514
618_N,BROOK AVE,40.8076018277,-73.9194143275
618_S,BROOK AVE,40.8076018277,-73.9194143275
619_N,3RD AVE,40.8105487673,-73.9261225098
619_S,3RD AVE,40.8105487673,-73.9261225098
621_N,125TH ST,40.8043308962,-73.9374848905
621_S,125TH ST,40.8043308962,-73.9374848905
622_N,116TH ST,40.7986559792,-73.941619011
622_S,116TH ST,40.7986559792,-73.941619011
623_N,110TH ST,40.795149009,-73.9441320815
623_S,110TH ST,40.795149009,-73.9441320815
624_N,103RD ST,40.7906410975,-73.9474811782
624_S,103RD ST,40.7906410975,-73.9474811782
625_N,96TH ST,40.785727208,-73.9511093663
625_S,96TH ST,40.785727208,-73.9511093663
626_N,86TH ST,40.779515252,-73.9556394919
626_S,86TH ST,40.779515252,-73.9556394919
627_N,77TH ST,40.7739103296,-73.959920696
627_S,77TH ST,40.7739103296,-73.959920696
628_N,68TH ST,40.7683204436,-73.9640517632
628_S,68TH ST,40.7683204436,-73.9640517632
629_N,59TH ST,40.7627105414,-73.9681909105
629_S,59TH ST,40.7627105414,-73.9681909105
630_N,51ST ST,40.7573385847,-73.9721180928
630_S,51ST ST,40.7573385847,-73.9721180928
631_N,GRAND CENTRAL,40.7520337087,-73.9770331859
631_S,GRAND CENTRAL,40.7520337087,-73.9770331859
632_N,33RD ST,40.7463907921,-73.9822453429
632_S,33RD ST,40.7463907921,-73.9822453429
633_N,28TH ST,40.7434728227,-73.9844064966
633_S,28TH ST,40.7434728227,-73.9844064966
634_N,23RD ST,40.7401318707,-73.9868365103
634_S,23RD ST,40.7401318707,-73.9868365103
635_N,14TH ST,40.7352510027,-73.9899145517
635_S,14TH ST,40.7352510027,-73.9899145517
636_N,ASTOR PL,40.7307450892,-73.9912935877
636_S,ASTOR PL,40.7307450892,-73.9912935877
637_N,BLEECKER ST,40.7264751589,-73.9946257523
637_S,BLEECKER ST,40.7264751589,-73.9946257523
638_N,SPRING ST,40.7228282074,-73.9970487898
638_S,SPRING ST,40.7228282074,-73.9970487898
639_N,CANAL ST,40.7193263184,-74.0001028747
639_S,CANAL ST,40.7193263184,-74.0001028747
640,BROOKLYN BRIDGE,40.713497428,-74.0041009396
701,MAIN ST,40.7588939159,-73.8295068999
702_N,WILLETS POINT BLVD,40.7539089702,-73.8454544018
702_S,WILLETS POINT BLVD,40.7539089702,-73.8454544018
705_N,111TH ST,40.7511669855,-73.8548297492
705_S,111TH ST,40.7511669855,-73.8548297492
706_N,103RD ST,40.749380991,-73.8620659255
706_S,103RD ST,40.749380991,-73.8620659255
707_N,JUNCTION BLVD,40.7486889708,-73.8690930982
707_S,JUNCTION BLVD,40.7486889708,-73.8690930982
708_N,90TH ST,40.7480109617,-73.8760633165
708_S,90TH ST,40.7480109617,-73.8760633165
709_N,82ND ST,40.7470719852,-73.8832565206
709_S,82ND ST,40.7470719852,-73.8832565206
710_N,74TH ST,40.7463659739,-73.8909737156
710_S,74TH ST,40.7463659739,-73.8909737156
711_N,69TH ST,40.7458749826,-73.8958938659
711_S,69TH ST,40.7458749826,-73.8958938659
712_N,61ST ST,40.7451219569,-73.9028730645
712_S,61ST ST,40.7451219569,-73.9028730645
713_N,52ND ST,40.7437269499,-73.9121043712
713_S,52ND ST,40.7437269499,-73.9121043712
714_N,46TH ST,40.7427210055,-73.9180935118
714_S,46TH ST,40.7427210055,-73.9180935118
715_N,40TH ST,40.7434179288,-73.9237176649
715_S,40TH ST,40.7434179288,-73.9237176649
716_N,33RD ST,40.7441789574,-73.9306248614
716_S,33RD ST,40.7441789574,-73.9306248614
718_N,QUEENSBORO PLZ,40.7503407948,-73.9399811988
718_S,QUEENSBORO PLZ,40.7503407948,-73.9399811988
719_N,45TH RD,40.7464958438,-73.9450242829
719_S,45TH RD,40.7464958438,-73.9450242829
720_N,HUNTERSPOINT AVE,40.7419319464,-73.9487934102
720_S,HUNTERSPOINT AVE,40.7419319464,-73.9487934102
721_N,VERNON BLVD-JACKSON AVE,40.7422238944,-73.9532885626
721_S,VERNON BLVD-JACKSON AVE,40.7422238944,-73.9532885626
723_N,GRAND CENTRAL,40.7517016945,-73.9762211594
723_S,GRAND CENTRAL,40.7517016945,-73.9762211594
724_N,5TH AVE,40.7539076577,-73.9821413646
724_S,5TH AVE,40.7539076577,-73.9821413646
725,TIMES SQ,40.7556095848,-73.9878294877
901,GRAND CENTRAL,40.752911697,-73.9792332914
902,TIMES SQ,40.7561125685,-73.9864484559
A02,207TH ST,40.8682258116,-73.9199000612
A03_N,DYCKMAN ST,40.8656838336,-73.9270173415
A03_S,DYCKMAN ST,40.8656838336,-73.9270173415
A05_N,190TH ST,40.8587100057,-73.9342825799
A05_S,190TH ST,40.8587100057,-73.9342825799
A06_N,181ST ST,40.8523140681,-73.9376397029
A06_S,181ST ST,40.8523140681,-73.9376397029
A07_N,175TH ST,40.8475511456,-73.9396047449
A07_S,175TH ST,40.8475511456,-73.9396047449
A09_N,168TH ST,40.840801226,-73.9396097341
A09_S,168TH ST,40.840801226,-73.9396097341
A10_N,163RD ST,40.8360853133,-73.9399898063
A10_S,163RD ST,40.8360853133,-73.9399898063
A11_N,155TH ST,40.8305754154,-73.9416259043
A11_S,155TH ST,40.8305754154,-73.9416259043
A12_N,145TH ST,40.8249355592,-73.9442180044
A12_S,145TH ST,40.8249355592,-73.9442180044
A14_N,135TH ST,40.817912626,-73.9477721474
A14_S,135TH ST,40.817912626,-73.9477721474
A15_N,125TH ST,40.8112517224,-73.9522682948
A15_S,125TH ST,40.8112517224,-73.9522682948
A16_N,116TH ST,40.8051238591,-73.9549543252
A16_S,116TH ST,40.8051238591,-73.9549543252
A17_N,110TH ST,40.8007039234,-73.9582095062
A17_S,110TH ST,40.8007039234,-73.9582095062
A18_N,103RD ST,40.7961530116,-73.961528614
A18_S,103RD ST,40.7961530116,-73.961528614
A19_N,96TH ST,40.7916840712,-73.9648037385
A19_S,96TH ST,40.7916840712,-73.9648037385
A20_N,86TH ST,40.7859101138,-73.9690679065
A20_S,86TH ST,40.7859101138,-73.9690679065
A21_N,81ST ST,40.7814791603,-73.972337933
A21_S,81ST ST,40.7814791603,-73.972337933
A22_N,72ND ST,40.7757402992,-73.9764540576
A22_S,72ND ST,40.7757402992,-73.9764540576
A24_N,59TH ST,40.7683134069,-73.9818402719
A24_S,59TH ST,40.7683134069,-73.9818402719
A25_N,50TH ST,40.7626465152,-73.986029397
A25_S,50TH ST,40.7626465152,-73.986029397
A27_N,42ND ST,40.757324569,-73.989878602
A27_S,42ND ST,40.757324569,-73.989878602
A28_N,34TH ST,40.752404657,-73.9935146487
A28_S,34TH ST,40.752404657,-73.9935146487
A30_N,23RD ST,40.7461337289,-73.9981858298
A30_S,23RD ST,40.7461337289,-73.9981858298
A31_N,14TH ST,40.7411278628,-74.0018559566
A31_S,14TH ST,40.7411278628,-74.0018559566
A32_N,W 4TH ST,40.7329720048,-74.0003358782
A32_S,W 4TH ST,40.7329720048,-74.0003358782
A33_N,SPRING ST,40.7267821486,-74.0035649582
A33_S,SPRING ST,40.7267821486,-74.0035649582
A34_N,CANAL ST,40.7213122657,-74.0051290443
A34_S,CANAL ST,40.7213122657,-74.0051290443
A36_N,CHAMBERS ST,40.7146384079,-74.0084371071
A36_S,CHAMBERS ST,40.7146384079,-74.0084371071
A38_N,BROADWAY-NASSAU ST,40.7105114676,-74.0072690155
A38_S,BROADWAY-NASSAU ST,40.7105114676,-74.0072690155
A40_N,HIGH ST,40.6989767249,-73.9902295418
A40_S,HIGH ST,40.6989767249,-73.9902295418
A41_N,JAY ST-BOROUGH HALL,40.6923798764,-73.9868934254
A41_S,JAY ST-BOROUGH HALL,40.6923798764,-73.9868934254
A42_N,HOYT-SCHERMERHORN STS,40.6883279848,-73.9847653385
A42_S,HOYT-SCHERMERHORN STS,40.6883279848,-73.9847653385
A43_N,LAFAYETTE AVE,40.68587305,-73.973575089
A43_S,LAFAYETTE AVE,40.68587305,-73.973575089
A44_N,CLINTON-WASHINGTON AVES,40.6831740833,-73.9656827894
A44_S,CLINTON-WASHINGTON AVES,40.6831740833,-73.9656827894
A45_N,FRANKLIN AVE,40.681119148,-73.9565716175
A45_S,FRANKLIN AVE,40.681119148,-73.9565716175
A46_N,NOSTRAND AVE,40.6800821695,-73.9497353849
A46_S,NOSTRAND AVE,40.6800821695,-73.9497353849
A47_N,KINGSTON-THROOP AVES,40.6794982277,-73.9402741517
A47_S,KINGSTON-THROOP AVES,40.6794982277,-73.9402741517
A48_N,UTICA AVE,40.6789551971,-73.9297448681
A48_S,UTICA AVE,40.6789551971,-73.9297448681
A49_N,RALPH AVE,40.6784042346,-73.9204875065
A49_S,RALPH AVE,40.6784042346,-73.9204875065
A50_N,ROCKAWAY AVE,40.6778642496,-73.9117003344
A50_S,ROCKAWAY AVE,40.6778642496,-73.9117003344
A51_N,BROADWAY-EAST NEW YORK,40.6777043035,-73.9052261522
A51_S,BROADWAY-EAST NEW YORK,40.6777043035,-73.9052261522
A52_N,LIBERTY AVE,40.6741703784,-73.8965288784
A52_S,LIBERTY AVE,40.6741703784,-73.8965288784
A53_N,VAN SICLEN AVE,40.6721043929,-73.8902536882
A53_S,VAN SICLEN AVE,40.6721043929,-73.8902536882
A54_N,SHEPHERD AVE,40.6735173536,-73.8807704174
A54_S,SHEPHERD AVE,40.6735173536,-73.8807704174
A55_N,EUCLID AVE,40.6747233484,-73.8720101769
A55_S,EUCLID AVE,40.6747233484,-73.8720101769
A57_N,GRANT AVE,40.6763023362,-73.8650529267
A57_S,GRANT AVE,40.6763023362,-73.8650529267
A59_N,80TH ST,40.6785672986,-73.8587837892
A59_S,80TH ST,40.6785672986,-73.8587837892
A60_N,88TH ST,40.6790472625,-73.8512786023
A60_S,88TH ST,40.6790472625,-73.8512786023
A61_N,ROCKAWAY BLVD,40.6796253015,-73.8438053773
A61_S,ROCKAWAY BLVD,40.6796253015,-73.8438053773
A63_N,104TH ST,40.6810432731,-73.8375901563
A63_S,104TH ST,40.6810432731,-73.8375901563
A64_N,111TH ST,40.6833952003,-73.8320920345
A64_S,111TH ST,40.6833952003,-73.8320920345
A65,LEFFERTS BLVD,40.6850061773,-73.8256888667
B04_N,21ST ST,40.753483755,-73.942080227
B04_S,21ST ST,40.753483755,-73.942080227
B06_N,ROOSEVELT ISLAND,40.7592736278,-73.9528175014
B06_S,ROOSEVELT ISLAND,40.7592736278,-73.9528175014
B08_N,LEXINGTON AVE,40.7645454673,-73.9658068083
B08_S,LEXINGTON AVE,40.7645454673,-73.9658068083
B10_N,57TH ST,40.7640745166,-73.9775822153
B10_S,57TH ST,40.7640745166,-73.9775822153
B12_N,9TH AVE,40.6461708626,-73.9942675372
B12_S,9TH AVE,40.6461708626,-73.9942675372
B13_N,FT HAMILTON PKY,40.6407199646,-73.9940866064
B13_S,FT HAMILTON PKY,40.6407199646,-73.9940866064
B14_N,50TH ST,40.6359570627,-73.9945376314
B14_S,50TH ST,40.6359570627,-73.9945376314
B15_N,55TH ST,40.631235117,-73.9953206072
B15_S,55TH ST,40.631235117,-73.9953206072
B16_N,62ND ST,40.6260892336,-73.9967256493
B16_S,62ND ST,40.6260892336,-73.9967256493
B17_N,71ST ST,40.6193504304,-73.998824715
B17_S,71ST ST,40.6193504304,-73.998824715
B18_N,79TH ST,40.6132285034,-74.0006047363
B18_S,79TH ST,40.6132285034,-74.0006047363
B19_N,18TH AVE,40.6078366428,-74.0016867886
B19_S,18TH AVE,40.6078366428,-74.0016867886
B20_N,20TH AVE,40.6044677147,-73.9982676498
B20_S,20TH AVE,40.6044677147,-73.9982676498
B21_N,BAY PKY,40.6017377388,-73.9937275251
B21_S,BAY PKY,40.6017377388,-73.9937275251
B22_N,25TH AVE,40.5976228165,-73.986804358
B22_S,25TH AVE,40.5976228165,-73.986804358
B23_N,BAY 50TH ST,40.5886769974,-73.9835692258
B23_S,BAY 50TH ST,40.5886769974,-73.9835692258
D01,205TH ST,40.8746727971,-73.8790609091
D03_N,BEDFORD PARK BLVD,40.8728468041,-73.8872171519
D03_S,BEDFORD PARK BLVD,40.8728468041,-73.8872171519
D04_N,KINGSBRIDGE RD,40.8670818755,-73.8933643846
D04_S,KINGSBRIDGE RD,40.8670818755,-73.8933643846
D05_N,FORDHAM RD,40.861508969,-73.8975835122
D05_S,FORDHAM RD,40.861508969,-73.8975835122
D06_N,182ND-183RD STS,40.8562660818,-73.9006335828
D06_S,182ND-183RD STS,40.8562660818,-73.9006335828
D07_N,TREMONT AVE,40.8506341526,-73.9052027944
D07_S,TREMONT AVE,40.8506341526,-73.9052027944
D08_N,174TH-175TH STS,40.8457882367,-73.9104699196
D08_S,174TH-175TH STS,40.8457882367,-73.9104699196
D09_N,170TH ST,40.8393913796,-73.9134400668
D09_S,170TH ST,40.8393913796,-73.9134400668
D10_N,167TH ST,40.8338354558,-73.9183622277
D10_S,167TH ST,40.8338354558,-73.9183622277
D11_N,161ST ST,40.8278005362,-73.9256294027
D11_S,161ST ST,40.8278005362,-73.9256294027
D12_N,155TH ST,40.8302594774,-73.9379897709
D12_S,155TH ST,40.8302594774,-73.9379897709
D13_N,145TH ST,40.8249355592,-73.9442180044
D13_S,145TH ST,40.8249355592,-73.9442180044
D14_N,7TH AVE,40.7629565072,-73.9818343519
D14_S,7TH AVE,40.7629565072,-73.9818343519
D15_N,47TH-50TH STS,40.7587655757,-73.9814893708
D15_S,47TH-50TH STS,40.7587655757,-73.9814893708
D16_N,42ND ST,40.7543616129,-73.9847174276
D16_S,42ND ST,40.7543616129,-73.9847174276
D17_N,34TH ST,40.7498757043,-73.9879996011
D17_S,34TH ST,40.7498757043,-73.9879996011
D18_N,23RD ST,40.743136795,-73.9930046933
D18_S,23RD ST,40.743136795,-73.9930046933
D19_N,14TH ST,40.738622908,-73.9962968022
D19_S,14TH ST,40.738622908,-73.9962968022
D20_N,W 4TH ST,40.7329720048,-74.0003358782
D20_S,W 4TH ST,40.7329720048,-74.0003358782
D21_N,BROADWAY-LAFAYETTE ST,40.7258221908,-73.9962297362
